083	Sunfall Empire	日陨帝国
084	Blackhold Kingdom	黑堡王国
085	Windspire Republic	风塔共和国
086	Stonecrown Dominion	石冠领邦
087	Moonhaven Realm	月港王国
088	Amberreach League	琥珀境联盟
089	Crowngate Empire	王冠门帝国
090	Wolfthorn Kingdom	狼棘王国
091	Eldermarch Dominion	古境领邦
092	Ironfall Union	铁陨联盟
093	Starspire Kingdom	星塔王国
094	Shadowmere Dominion	影泽领邦
095	Goldwatch Republic	金望共和国
096	Stormthorn Empire	风暴棘帝国
097	Ravenfall Kingdom	鸦落王国
098	Whitewatch Dominion	白望领邦
099	Ashenvale Realm	灰谷王国
100	Dragoncrown Empire	龙冠帝国
101	Vermillion Dominion	朱砂领邦
102	Obsidian Marches	黑曜边境
103	Argent Throne	银辉王座
104	Crimson Concord	绯红协约
105	Sapphire Dominion	蓝宝石领邦
106	Ivory Covenant	象牙誓盟
107	Onyx Empire	缟玛瑙帝国
108	Celestine Realm	苍穹王国
109	Scarlet Republic	猩红共和国
110	Verdant League	苍翠联盟
111	Gilded Sovereignty	镀金主权国
112	Azure Compact	苍蓝盟约
113	Umbral Kingdom	幽影王国
114	Solarian Empire	日耀帝国
115	Nocturne Dominion	夜曲领邦
116	Imperium of Vael	瓦埃尔帝权
117	Crownlands of Arken	阿肯王冠领
118	Dominion of Kaelor	凯洛尔领邦
119	Realm of Veyr	维尔王国
120	Empire of Thalor	塔洛尔帝国
121	Kingdom of Maerwyn	梅尔温王国
122	Republic of Caldris	卡尔德里斯共和国
123	League of Varros	瓦罗斯联盟
124	Covenant of Eryndor	艾林多誓盟
125	Marches of Duskfall	暮陨边境
126	Throne of Eldrath	艾尔德拉斯王座
127	Free Cities of Orvain	奥尔维恩自由城邦
128	Confederacy of Stonehelm	石盔邦联
129	Grand Duchy of Ravenspire	鸦塔大公国
130	High Kingdom of Solmere	索尔米尔高王国
131	Dominion of Ironreach	铁境领邦
132	Empire of Goldwyn	戈德温帝国
133	Kingdom of Frostbarrow	霜丘王国
134	Crown of Emberlyn	烬琳王冠国
135	Republic of Starhaven	星港共和国
136	League of Silvercoast	银岸联盟
137	Covenant of Blackmere	黑泽誓盟
138	Principality of Westvale	西谷公国
139	The Ashen Crown	灰烬王冠
140	The Crimson Throne	绯红王座
141	The Iron Dominion	铁之领邦
142	The Golden Concord	黄金协约
143	The Obsidian League	黑曜联盟
144	The Silver Covenant	白银誓盟
145	The Stormborn Realm	风暴裔王国
146	The Raven Banner	鸦旗国
147	The Dragon Throne	龙之王座
148	The Frostbound Kingdom	霜缚王国
149	The Sunward Empire	向阳帝国
150	The Moonlit Compact	月辉盟约
151	The Black Banner	黑旗国
152	The Ivory Realm	象牙王国
153	The Gilded March	镀金边境
154	The Sapphire Coast	蓝宝石海岸
155	The Verdant Crown	苍翠王冠
156	The Ember Dynasty	烬火王朝
157	The Starforged League	星铸联盟
158	The Thorned Dominion	棘刺领邦
159	The Highborn Covenant	高裔誓盟
160	The Nightfall Realm	夜陨王国
161	Arkenvale Dominion	阿肯谷领邦
162	Vaelorian Empire	瓦洛里安帝国
163	Thalorian Kingdom	塔洛里安王国
164	Caldrisian Republic	卡尔德里斯共和国
165	Eryndorian Covenant	艾林多誓盟
166	Varric League	瓦里克联盟
167	Maerwyn Compact	梅尔温盟约
168	Solmere Crownlands	索尔米尔王冠领
169	Duskfall Marches	暮陨边境
170	Ironhelm Dominion	铁盔领邦
171	Goldwyn Empire	戈德温帝国
172	Frostbarrow Kingdom	霜丘王国
173	Emberlyn Realm	烬琳王国
174	Starhaven Republic	星港共和国
175	Silvercoast League	银岸联盟
176	Blackmere Covenant	黑泽誓盟
177	Westvale Principality	西谷公国
178	Ravenspire Duchy	鸦塔公国
179	Stormborn Dominion	风暴裔领邦
180	Dragonhelm Empire	龙盔帝国
181	Ashenmoor Kingdom	灰沼王国
182	Crownmere Realm	冠泽王国
183	Ironbrook Confederacy	铁溪邦联
184	Goldwater League	金水联盟
185	Frostpine Kingdom	霜松王国
186	Emberstone Dominion	烬石领邦
187	Starfall Republic	星落共和国
188	Silverbrook Compact	银溪盟约
189	Blackpine Realm	黑松王国
190	Westwatch Kingdom	西望王国
191	Thornmere Dominion	棘泽领邦
192	Ravenmoor League	鸦沼联盟
193	Dragonvale Empire	龙谷帝国
194	Stormwater Republic	风暴水共和国
195	Ashengate Kingdom	灰门王国
196	Crownwatch Dominion	冠望领邦
197	Ironvale Republic	铁谷共和国
198	Goldenmarch Empire	金境帝国
199	Frostwater League	霜水联盟
200	Embervale Dominion	烬谷领邦
